Part Number,Product Name,Marketing name,Tagline,KSP,Link,Part Number,Title,CPU,GPU,OS,Office,Panel Size,Resolution,Brightness,RAM,SSD,IO Port,Weight (with Battery),Size,Expansion Slot,Include in the box,Battery,Power Supply,Security
90PF05I1-M021N0,P500MV-5850331WS,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Powerful for Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05I1-M021N0,#VALUE!,#VALUE!,8GB DDR5 SO-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads)",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",Wired keyboard,1x PCIe® 4.0 x 16,"1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A","3.5"" x 1",No Battery,Not Found,06.00 kg (13.23 lbs)
90PF05I1-M021P0,P500MV-7850331WS,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Powerful for Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05I1-M021P0,#VALUE!,#VALUE!,8GB DDR5 SO-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i7-13620H Processor 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads)",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",Wired keyboard,1x PCIe® 4.0 x 16,"1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A","3.5"" x 1",No Battery,Not Found,06.00 kg (13.23 lbs)
90PF05K2-M00N60,S503MER-385018WS,ASUS S503MER,"Work and play, empowered","- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M00N60,ASUS S503MER (i3-14100/8GB/512GB/Win 11 Home/S503MER),Intel® Core™ i3-14100 3.5GHz,Intel® UHD Graphics 730,Windows 11 Home,"Microsoft Office Home 2024
Microsoft 365 Basic","21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (HDMI 2.1 TMDS)

Rear:
1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,15.50 x 29.60 x 34.70 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2280 connector for storage
1x M.2 2280/2230 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05K2-M00N70,S503MER-585018WS,ASUS S503MER,"Work and play, empowered","- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M00N70,ASUS S503MER (i5-14500/8GB/512GB/Win 11 Home/S503MER),Intel® Core™ i5-14500 2.6GHz,Intel® UHD Graphics 770,Windows 11 Home,"Microsoft Office Home 2024
Microsoft 365 Basic","21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (HDMI 2.1 TMDS)

Rear:
1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,15.50 x 29.60 x 34.70 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2280 connector for storage
1x M.2 2280/2230 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05K2-M00V70,S503MER-785033WS,ASUS S503MER,"Work and play, empowered","- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M00V70,ASUS S503MER (i7-14700/8GB/512GB/Win 11 Home/S503MER),Intel® Core™ i7-14700 2.1GHz,Intel® UHD Graphics 770,Windows 11 Home,"Microsoft Office Home 2024
Microsoft 365 Basic","21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (HDMI 2.1 TMDS)

Rear:
1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,15.50 x 29.60 x 34.70 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2280 connector for storage
1x M.2 2280/2230 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,330W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05K2-M01VE0,S503MER-585033WS,ASUS S503MER,Trusted by IT Experts. Built for Worry-Free Business.,"- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M01VE0,#VALUE!,#VALUE!,8GB DDR5 U-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i5-14500 Processor 2.6GHz (24MB Cache, up to 5.0GHz, 14 cores, 20 Threads)
N/A",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",Wired keyboard,#N/A,"1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A","2.5"" x 1
3.5"" x 1",No Battery,Not Found,06.00 kg (13.23 lbs)
90PF05K2-M022T0,S503MER-3850331WS,ASUS S503MER,Trusted by IT Experts. Built for Worry-Free Business.,"- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M022T0,#VALUE!,#VALUE!,8GB DDR5 U-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i3-14100 Processor 3.5GHz (12MB Cache, up to 4.7GHz, 4 cores, 8 Threads)
N/A",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",Wired keyboard,#N/A,"1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A","2.5"" x 1
3.5"" x 1",No Battery,Not Found,06.00 kg (13.23 lbs)
90PF05K2-M022V0,S503MER-5850331WS,ASUS S503MER,Trusted by IT Experts. Built for Worry-Free Business.,"- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M022V0,#VALUE!,#VALUE!,8GB DDR5 U-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i5-14500 Processor 2.6GHz (24MB Cache, up to 5.0GHz, 14 cores, 20 Threads)
N/A",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",Wired keyboard,#N/A,"1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A","2.5"" x 1
3.5"" x 1",No Battery,Not Found,06.00 kg (13.23 lbs)
90PF05K2-M022X0,S503MER-7850501WS,ASUS S503MER,Trusted by IT Experts. Built for Worry-Free Business.,"- High Performance for Modern workloads : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance
- Compact yet Fully Upgradeable : 15L mini tower with full I/O port include Dual HDMI, easy upgrade & immersive expandability
- Reliable Security and Durability with 2 years full parts warranty",0,90PF05K2-M022X0,#VALUE!,#VALUE!,8GB DDR5 U-DIMM,,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,"Intel® Core™ i7-14700 Processor 2.1GHz (33MB Cache, up to 5.3GHz, 20 cores, 28 Threads)
N/A",64GB,"Front:
High Definition 7.1 Channel Audio

Rear:
Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card",Wired keyboard,#N/A,"1x Headphone
1x 3.5mm combo audio jack
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A","2.5"" x 1
3.5"" x 1",No Battery,Not Found,06.00 kg (13.23 lbs)
90PF05M1-M01MP0,D501SER-385000001W,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF05M1-M01MP0,ASUS ExpertCenter D5 SFF (i3-14100/8GB/512GB/Win 11 Home/D501SER),Intel® Core™ i3-14100 3.5GHz,Intel® UHD Graphics 730,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (DP1.4 HBR3)

Rear:
1x Headphone
1x 3.5 mm combo audio jack (Mic in or Headphone out)
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,09.30 x 29.60 x 30.90 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2230 connector for storage
1x M.2 2280 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05M1-M01MW0,D501SER-385000001X,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF05M1-M01MW0,ASUS ExpertCenter D5 SFF (i3-14100/8GB/512GB/Win 11 Home/D501SER),Intel® Core™ i3-14100 3.5GHz,Intel® UHD Graphics 730,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (DP1.4 HBR3)

Rear:
1x Headphone
1x 3.5 mm combo audio jack (Mic in or Headphone out)
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,09.30 x 29.60 x 30.90 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2230 connector for storage
1x M.2 2280 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05M1-M01MX0,D501SER-585000001W,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF05M1-M01MX0,ASUS ExpertCenter D5 SFF (i5-14500/8GB/512GB/Win 11 Home/D501SER),Intel® Core™ i5-14500 2.6GHz,Intel® UHD Graphics 770,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (DP1.4 HBR3)

Rear:
1x Headphone
1x 3.5 mm combo audio jack (Mic in or Headphone out)
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,09.30 x 29.60 x 30.90 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2230 connector for storage
1x M.2 2280 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05M1-M01MY0,D501SER-585000001X,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF05M1-M01MY0,ASUS ExpertCenter D5 SFF (i5-14500/8GB/512GB/Win 11 Home/D501SER),Intel® Core™ i5-14500 2.6GHz,Intel® UHD Graphics 770,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (DP1.4 HBR3)

Rear:
1x Headphone
1x 3.5 mm combo audio jack (Mic in or Headphone out)
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,09.30 x 29.60 x 30.90 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2230 connector for storage
1x M.2 2280 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05M1-M01MZ0,D501SER-785000001W,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF05M1-M01MZ0,ASUS ExpertCenter D5 SFF (i7-14700/8GB/512GB/Win 11 Home/D501SER),Intel® Core™ i7-14700 2.1GHz,Intel® UHD Graphics 770,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (DP1.4 HBR3)

Rear:
1x Headphone
1x 3.5 mm combo audio jack (Mic in or Headphone out)
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,09.30 x 29.60 x 30.90 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2230 connector for storage
1x M.2 2280 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05M1-M01N00,D501SER-785000001X,ASUS ExpertCenter D5 SFF,Exceptional small-business value,"- Compact Small form Factor for Space saving with easy to upgrade design
- Immersive expandability and comprehensive I/O Port
- Military Grade Certified with Business Security 3 years Onsite service (include 1Y Accidental Damage Protection)",0,90PF05M1-M01N00,ASUS ExpertCenter D5 SFF (i7-14700/8GB/512GB/Win 11 Pro/D501SER),Intel® Core™ i7-14700 2.1GHz,Intel® UHD Graphics 770,Windows 11 Pro,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x VGA Port
1x 7.1 channel audio (3 ports)
1x Kensington lock
1x Padlock loop
2x USB 2.0 Type-A
2x USB 3.2 Gen 1 Type-A
1x FLEX I/O port (DP1.4 HBR3)

Rear:
1x Headphone
1x 3.5 mm combo audio jack (Mic in or Headphone out)
2x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A",06.00 kg,09.30 x 29.60 x 30.90 cm,"1x PCIe® 4.0 x 16
2x PCIe® 3.0 x 1
1x M.2 2230 connector for storage
1x M.2 2280 connector for storage
1x M.2 connector for WiFi
2x DDR5 U-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)
McAfee® 30 days free trial
Padlock loop
Trusted Platform Module (Firmware TPM)"
90PF05U1-M00010,PG500MV-385W,ASUS ExpertCenter P500 Mini Tower,Exceptional Value and Performance for Businesses,"- Powerful yet Efficient for all Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance on efficient power
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05U1-M00010,ASUS ExpertCenter P500 Mini Tower (i3-1315U/8GB/512GB/Win 11 Home/PG500MV),Intel® Core™ i3-1315U 1.2 GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x Kensington lock
4x USB 2.0 Type-A

Rear:
1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",06.00 kg,15.50 x 29.60 x 34.70 cm,1x M.2 connector for WiFi,"Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,180W,"Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)"
90PF05U1-M00050,PG500MV-715W,ASUS ExpertCenter P500 Mini Tower,Exceptional Value and Performance for Businesses,"- Powerful yet Efficient for all Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance on efficient power
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05U1-M00050,ASUS ExpertCenter P500 Mini Tower (i7-13620H/8GB/512GB/Win 11 Home/PG500MV),Intel® Core™ i7-13620H 2.4 GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM *2,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x Kensington lock
4x USB 2.0 Type-A

Rear:
1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",06.00 kg,15.50 x 29.60 x 34.70 cm,"1x PCIe® 4.0 x 16
1x M.2 connector for WiFi","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,330W,"Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)"
90PF05U1-M00060,PG500MV-7116W,ASUS ExpertCenter P500 Mini Tower,Exceptional Value and Performance for Businesses,"- Powerful yet Efficient for all Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance on efficient power
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05U1-M00060,ASUS ExpertCenter P500 Mini Tower (i7-13620H/8GB/512GB/RTX™ 3050/Win 11 Home/PG500MV),Intel® Core™ i7-13620H 2.4 GHz,"NVIDIA® GeForce RTX™ 3050 6GB GDDR6 : 1x DP, 1x HDMI, 1x DVI-D",Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM *2,512GB + 512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x Kensington lock
4x USB 2.0 Type-A

Rear:
1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",06.00 kg,15.50 x 29.60 x 34.70 cm,"1x PCIe® 4.0 x 16
1x M.2 connector for WiFi","Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,330W,"Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)"
90PF05U1-M00070,PG500MV-585W,ASUS ExpertCenter P500 Mini Tower,Exceptional Value and Performance for Businesses,"- Powerful yet Efficient for all Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance on efficient power
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05U1-M00070,ASUS ExpertCenter P500 Mini Tower (i5-13420H/8GB/512GB/Win 11 Home/PG500MV),Intel® Core™ i5-13420H 2.1 GHz,Intel® UHD Graphics,Windows 11 Home,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x Kensington lock
4x USB 2.0 Type-A

Rear:
1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",06.00 kg,15.50 x 29.60 x 34.70 cm,1x M.2 connector for WiFi,"Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,330W,"Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)"
90PF05U1-M00080,PG500MV-585X,ASUS ExpertCenter P500 Mini Tower,Exceptional Value and Performance for Businesses,"- Powerful yet Efficient for all Business : up to Intel Core i7 with DDR5 delivers responsive multitasking and stable performance on efficient power
- Compact yet Upgradeable : 15L mini tower with full I/O port, easy upgrade & expandability
- Business-Grade Durability & Security : free McAfee plus 2 years full parts warranty + Accidental Damage Protection",0,90PF05U1-M00080,ASUS ExpertCenter P500 Mini Tower (i5-13420H/8GB/512GB/Win 11 Pro/PG500MV),Intel® Core™ i5-13420H 2.1 GHz,Intel® UHD Graphics,Windows 11 Pro,Not Included,"21.5""",FHD (1920 x 1080) 16:9,250nits,8GB DDR5 U-DIMM,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,"Front:
1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x Kensington lock
4x USB 2.0 Type-A

Rear:
1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x 2 in 1 card reader SD / MMC
1x Smart card reader",06.00 kg,15.50 x 29.60 x 34.70 cm,1x M.2 connector for WiFi,"Wired keyboard (USB)
Wired optical mouse (USB)",No Battery,330W,"Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)"
